Date,Open_USD_CHF,Open_CHF_EUR,Open_CHF_GBP,Open_CHF_JPY,Open_CHF_CAD,Open_USD_JPY,Open_USD_EUR,Open_USD_GBP,Open_USD_CAD,Prev_Close_USD_CHF,Prev_Close_BondCH1m,Prev_Close_BondCH2y,Prev_Close_BondCH10y,Prev_Close_SMI,Prev_Close_BondUS1m,Prev_Close_BondUS2y,Prev_Close_BondUS10y,Prev_Close_SP500
2002-01-29,1.7057,0.6795,0.4156,78.18,0.9373,133.41,1.1596,0.7091,1.6001,1.706,1.48,2.727,3.57,6413.5,1.71,3.179,5.075,1133.1
2002-01-30,1.6982,0.6796,0.4162,78.47,0.9381,133.34,1.1546,0.7071,1.5945,1.6999,1.51,2.798,3.555,6324.1,1.71,3.073,4.94,1100.6
2002-01-31,1.7098,0.6784,0.413,77.69,0.928,132.86,1.1604,0.7064,1.5878,1.7096,1.54,2.718,3.54,6212.4,1.7,3.097,5.013,1113.6
2002-02-01,1.7199,0.6766,0.4118,78.22,0.9232,134.55,1.1641,0.7084,1.5887,1.7197,1.44,2.736,3.544,6237.3,1.69,3.195,5.046,1130.2
2002-02-04,1.7147,0.6762,0.4121,77.53,0.927,132.95,1.1598,0.7068,1.59,1.7142,1.51,2.678,3.503,6234.6,1.68,3.098,4.984,1122.2
2002-02-05,1.6968,0.6763,0.4137,77.99,0.9411,132.37,1.1484,0.7024,1.5977,1.6974,1.51,2.66,3.436,6196.6,1.69,2.983,4.907,1094.4
2002-02-06,1.698,0.6788,0.4158,78.78,0.9403,133.87,1.1531,0.7065,1.598,1.6976,1.5,2.588,3.424,6132.5,1.736,2.981,4.896,1090.0
2002-02-07,1.6953,0.6791,0.4174,78.75,0.9465,133.57,1.1519,0.7081,1.606,1.6958,1.54,2.574,3.443,6105.2,1.731,2.955,4.927,1083.5
2002-02-08,1.6913,0.6789,0.4182,79.04,0.945,133.7,1.1484,0.7074,1.599,1.6893,1.55,2.638,3.529,6227.2,1.72,2.975,4.927,1080.2
2002-02-11,1.6928,0.6783,0.4179,79.66,0.9438,134.9,1.1485,0.7076,1.5986,1.6887,1.46,2.642,3.544,6245.5,1.69,2.917,4.881,1096.2
2002-02-12,1.684,0.6766,0.4174,79.13,0.9439,133.3,1.1403,0.7031,1.5909,1.6854,1.5,2.606,3.548,6278.9,1.746,2.909,4.916,1111.9
2002-02-13,1.6865,0.6753,0.4131,78.59,0.943,132.57,1.1392,0.697,1.5913,1.6866,1.5,2.579,3.553,6253.3,1.74,3.043,4.978,1107.5
2002-02-14,1.6999,0.6746,0.4117,78.44,0.9351,133.36,1.1471,0.7,1.59,1.7003,1.53,2.592,3.562,6337.0,1.756,3.082,4.992,1118.5
2002-02-15,1.6968,0.6736,0.4117,77.82,0.9376,132.08,1.1436,0.6988,1.5921,1.6974,1.54,2.624,3.568,6421.6,1.746,3.026,4.946,1116.5
2002-02-19,1.6993,0.6756,0.4117,78.07,0.9365,132.69,1.1484,0.6999,1.5925,1.7,1.55,2.537,3.513,6378.5,1.715,3.05,4.863,1104.2
2002-02-20,1.6868,0.6754,0.4137,79.16,0.9417,133.56,1.1401,0.6981,1.5898,1.6876,1.55,2.5,3.503,6235.9,1.73,2.937,4.871,1083.3
2002-02-21,1.701,0.6758,0.4117,78.6,0.9334,133.74,1.1498,0.7006,1.5888,1.7013,1.57,2.486,3.515,6199.4,1.72,2.96,4.891,1098.0
2002-02-22,1.6998,0.6754,0.4124,78.85,0.9353,134.09,1.1489,0.7012,1.5908,1.7008,1.59,2.505,3.526,6226.9,1.756,2.93,4.859,1081.0
2002-02-25,1.689,0.6754,0.4131,79.34,0.9445,134.09,1.1416,0.6983,1.5965,1.6902,1.57,2.422,3.494,6186.5,1.751,2.932,4.835,1089.8
2002-02-26,1.6982,0.6772,0.4131,78.79,0.9418,133.83,1.1506,0.7017,1.6005,1.6981,1.57,2.498,3.54,6236.3,1.761,2.976,4.853,1109.4
