"Date","Price","Open","High","Low","Change %"
"Mar 04, 2020","-0.874","-0.801","-0.801","-0.892","-1.58%"
"Mar 03, 2020","-0.888","-0.875","-0.835","-0.888","1.95%"
"Mar 02, 2020","-0.871","-0.872","-0.860","-0.935","0.00%"
"Feb 28, 2020","-0.871","-0.886","-0.866","-0.900","2.71%"
"Feb 27, 2020","-0.848","-0.768","-0.768","-0.875","5.60%"
"Feb 26, 2020","-0.803","-0.842","-0.803","-0.858","-3.95%"
"Feb 25, 2020","-0.836","-0.822","-0.822","-0.853","0.48%"
"Feb 24, 2020","-0.832","-0.799","-0.789","-0.853","6.26%"
"Feb 21, 2020","-0.783","-0.772","-0.772","-0.810","1.56%"
"Feb 20, 2020","-0.771","-0.751","-0.751","-0.782","2.39%"
"Feb 19, 2020","-0.753","-0.734","-0.726","-0.763","2.03%"
"Feb 18, 2020","-0.738","-0.745","-0.726","-0.774","-1.07%"
"Feb 17, 2020","-0.746","-0.731","-0.731","-0.759","1.22%"
"Feb 14, 2020","-0.737","-0.741","-0.733","-0.756","-1.60%"
"Feb 13, 2020","-0.749","-0.742","-0.737","-0.778","3.17%"
"Feb 12, 2020","-0.726","-0.632","-0.632","-0.732","-0.82%"
"Feb 11, 2020","-0.732","-0.713","-0.713","-0.740","0.14%"
"Feb 10, 2020","-0.731","-0.699","-0.699","-0.750","2.67%"
"Feb 07, 2020","-0.712","-0.712","-0.712","-0.723","3.79%"
"Feb 06, 2020","-0.686","-0.679","-0.679","-0.705","0.29%"
"Feb 05, 2020","-0.684","-0.749","-0.684","-0.765","-8.56%"
"Feb 04, 2020","-0.748","-0.749","-0.748","-0.768","0.00%"
"Feb 03, 2020","-0.748","-0.781","-0.748","-0.781","0.00%"
"Jan 31, 2020","-0.748","-0.748","-0.748","-0.784","0.00%"
"Jan 30, 2020","-0.748","-0.761","-0.748","-0.771","0.67%"
"Jan 29, 2020","-0.743","-0.666","-0.666","-0.759","0.00%"
"Jan 28, 2020","-0.743","-0.740","-0.740","-0.803","-4.62%"
"Jan 27, 2020","-0.779","-0.662","-0.661","-0.797","6.71%"
"Jan 24, 2020","-0.730","-0.714","-0.696","-0.740","1.96%"
"Jan 23, 2020","-0.716","-0.638","-0.638","-0.727","13.47%"
"Jan 22, 2020","-0.631","-0.575","-0.575","-0.687","1.94%"
"Jan 21, 2020","-0.619","-0.594","-0.591","-0.657","2.48%"
"Jan 20, 2020","-0.604","-0.575","-0.575","-0.607","1.68%"
"Jan 17, 2020","-0.594","-0.522","-0.522","-0.615","-1.49%"
"Jan 16, 2020","-0.603","-0.575","-0.571","-0.607","5.24%"
"Jan 15, 2020","-0.573","-0.522","-0.522","-0.588","7.50%"
"Jan 14, 2020","-0.533","-0.440","-0.440","-0.542","6.39%"
"Jan 13, 2020","-0.501","-0.529","-0.501","-0.534","-4.39%"
"Jan 10, 2020","-0.524","-0.513","-0.513","-0.548","0.19%"
"Jan 09, 2020","-0.523","-0.514","-0.513","-0.543","-2.43%"
"Jan 08, 2020","-0.536","-0.526","-0.521","-0.586","-6.78%"
"Jan 07, 2020","-0.575","-0.514","-0.514","-0.598","-0.86%"
"Jan 06, 2020","-0.580","-0.575","-0.565","-0.602","3.20%"
"Jan 03, 2020","-0.562","-0.512","-0.512","-0.574","19.07%"
"Dec 30, 2019","-0.472","-0.518","-0.472","-0.518","-11.11%"
"Dec 27, 2019","-0.531","-0.522","-0.519","-0.538","-0.19%"
"Dec 23, 2019","-0.532","-0.452","-0.452","-0.537","3.50%"
"Dec 20, 2019","-0.514","-0.531","-0.514","-0.553","-3.02%"
"Dec 19, 2019","-0.530","-0.544","-0.523","-0.544","-2.93%"
"Dec 18, 2019","-0.546","-0.496","-0.496","-0.594","-6.19%"
"Dec 17, 2019","-0.582","-0.567","-0.567","-0.589","0.34%"
"Dec 16, 2019","-0.580","-0.561","-0.561","-0.604","4.32%"
"Dec 13, 2019","-0.556","-0.512","-0.512","-0.563","-0.54%"
"Dec 12, 2019","-0.559","-0.597","-0.557","-0.618","-0.36%"
"Dec 11, 2019","-0.561","-0.542","-0.542","-0.592","-0.71%"
"Dec 10, 2019","-0.565","-0.526","-0.526","-0.594","-5.36%"
"Dec 09, 2019","-0.597","-0.609","-0.594","-0.616","-0.67%"
"Dec 06, 2019","-0.601","-0.626","-0.582","-0.634","1.86%"
"Dec 05, 2019","-0.590","-0.614","-0.590","-0.629","-6.05%"
"Dec 04, 2019","-0.628","-0.651","-0.628","-0.658","8.28%"
"Dec 03, 2019","-0.580","-0.578","-0.578","-0.646","-2.52%"
"Dec 02, 2019","-0.595","-0.525","-0.525","-0.613","-2.78%"
"Nov 29, 2019","-0.612","-0.627","-0.612","-0.635","-2.39%"
"Nov 28, 2019","-0.627","-0.638","-0.626","-0.653","0.16%"
"Nov 27, 2019","-0.626","-0.590","-0.590","-0.635","8.49%"
