Date,SMI,SP500,USD_CHF,BondCH,BondUS
2003-09-17,5398.899902,1025.97,1.3807,3.7,5.71
2003-09-18,5422.600098,1039.58,1.3858,3.716,5.69
2003-09-19,5387.100098,1036.3,1.3669,3.765,5.65
2003-09-22,5257.200195,1022.82,1.3528,3.723,5.73
2003-09-23,5212.399902,1029.03,1.3587,3.693,5.64
2003-09-24,5230.700195,1009.38,1.352,3.715,5.57
2003-09-25,5160.600098,1003.27,1.3447,3.692,5.54
2003-09-26,5131.299805,996.85,1.3425,3.663,5.49
2003-09-29,5102.299805,1006.58,1.3236,3.656,5.55
2003-09-30,5043.5,995.97,1.3175,3.624,5.43
2003-10-01,5061.0,1018.22,1.3152,3.533,5.43
2003-10-02,5077.899902,1020.24,1.3181,3.543,5.48
2003-10-03,5203.100098,1029.85,1.3367,3.533,5.64
2003-10-06,5161.5,1034.35,1.3194,3.58,5.6
2003-10-07,5123.700195,1039.25,1.3142,3.581,5.69
2003-10-08,5146.200195,1033.78,1.3109,3.566,5.71
2003-10-09,5217.799805,1038.73,1.3179,3.542,5.76
2003-10-10,5204.5,1038.06,1.3132,3.575,5.72
2003-10-13,5272.799805,1045.35,1.3228,3.568,5.72
2003-10-14,5254.0,1049.48,1.3164,3.588,5.8
2003-10-15,5262.5,1046.76,1.331,3.575,5.84
2003-10-16,5262.899902,1050.07,1.3346,3.615,5.85
2003-10-17,5247.299805,1039.32,1.3266,3.63,5.79
2003-10-20,5266.600098,1044.68,1.332,3.634,5.77
2003-10-21,5257.899902,1046.03,1.3302,3.643,5.76
2003-10-22,5176.600098,1030.36,1.3115,3.619,5.7
2003-10-23,5123.0,1033.77,1.309,3.55,5.73
2003-10-24,5123.700195,1028.91,1.3124,3.614,5.64
2003-10-27,5157.600098,1031.13,1.3179,3.619,5.68
2003-10-28,5185.200195,1046.79,1.3312,3.624,5.63
2003-10-29,5177.5,1048.11,1.3305,3.634,5.7
2003-10-30,5223.200195,1046.94,1.3336,3.661,5.74
2003-10-31,5211.399902,1050.71,1.3382,3.633,5.69
2003-11-03,5319.600098,1059.02,1.3598,3.626,5.72
2003-11-04,5252.100098,1053.25,1.3643,3.619,5.68
2003-11-05,5203.200195,1051.81,1.3708,3.663,5.72
2003-11-06,5235.700195,1058.05,1.3779,3.669,5.77
2003-11-07,5299.600098,1053.21,1.3669,3.695,5.79
2003-11-10,5242.200195,1047.11,1.3741,3.707,5.81
2003-11-11,5260.299805,1046.57,1.3623,3.666,5.81
2003-11-12,5270.600098,1058.56,1.3494,3.674,5.75
2003-11-13,5325.899902,1058.41,1.3352,3.667,5.64
2003-11-14,5369.799805,1050.35,1.3267,3.63,5.59
2003-11-17,5274.700195,1043.63,1.3252,3.612,5.57
2003-11-18,5249.899902,1034.15,1.2937,3.598,5.55
2003-11-19,5197.600098,1042.44,1.3056,3.559,5.61
2003-11-20,5200.899902,1033.65,1.3007,3.525,5.55
2003-11-21,5206.299805,1035.28,1.2983,3.553,5.53
2003-11-24,5304.600098,1052.08,1.3185,3.552,5.6
2003-11-25,5309.100098,1053.89,1.3194,3.632,5.56
2003-11-26,5296.0,1058.45,1.2941,3.589,5.59
2003-11-28,5317.5,1058.2,1.2911,3.596,5.64
2003-12-01,5374.899902,1070.12,1.2981,3.585,5.68
2003-12-02,5378.200195,1066.62,1.2872,3.575,5.67
2003-12-03,5440.700195,1064.73,1.2852,3.544,5.73
2003-12-04,5427.0,1069.72,1.2885,3.536,5.7
2003-12-05,5365.100098,1061.5,1.2724,3.508,5.59
2003-12-08,5360.0,1069.3,1.2674,3.477,5.66
2003-12-09,5392.399902,1060.18,1.2632,3.465,5.71
2003-12-10,5345.100098,1059.05,1.269,3.516,5.69
2003-12-11,5403.100098,1071.21,1.2689,3.483,5.65
2003-12-12,5397.600098,1074.14,1.2619,3.493,5.63
2003-12-15,5427.100098,1068.04,1.2605,3.434,5.65
2003-12-16,5383.299805,1075.13,1.2594,3.405,5.62
2003-12-17,5356.5,1076.48,1.2538,3.42,5.57
2003-12-18,5415.799805,1089.18,1.25,3.356,5.51
2003-12-19,5413.399902,1088.67,1.2548,3.317,5.5
2003-12-22,5387.799805,1092.94,1.2575,3.324,5.53
2003-12-23,5417.200195,1096.02,1.2567,3.293,5.6
2003-12-24,5417.200195,1094.04,1.2478,3.293,5.56
2003-12-26,5417.200195,1095.89,1.2549,3.293,5.52
2003-12-29,5445.200195,1109.48,1.2496,3.358,5.59
2003-12-30,5487.799805,1109.64,1.2426,3.406,5.64
2003-12-31,5487.799805,1111.92,1.2366,3.406,5.63
2004-01-02,5487.799805,1108.48,1.24,3.406,5.73
2004-01-05,5582.700195,1122.22,1.232,3.39,5.7
2004-01-06,5596.600098,1123.67,1.2319,3.402,5.63
2004-01-07,5583.399902,1126.33,1.2395,3.399,5.61
2004-01-08,5605.100098,1131.92,1.2266,3.403,5.63
2004-01-09,5574.700195,1121.86,1.2212,3.407,5.52
2004-01-12,5507.700195,1127.23,1.2277,3.369,5.52
2004-01-13,5559.100098,1121.22,1.2195,3.4,5.49
2004-01-14,5624.299805,1130.52,1.232,3.389,5.43
2004-01-15,5631.0,1132.05,1.2431,3.414,5.41
2004-01-16,5694.5,1139.83,1.2637,3.405,5.43
2004-01-20,5665.5,1138.77,1.2457,3.368,5.48
2004-01-21,5685.200195,1147.62,1.2375,3.375,5.47
2004-01-22,5721.399902,1143.94,1.2319,3.403,5.41
2004-01-23,5762.700195,1141.55,1.2414,3.392,5.49
2004-01-26,5748.5,1155.37,1.255,3.406,5.56
2004-01-27,5790.600098,1144.05,1.24,3.473,5.51
2004-01-28,5803.299805,1128.48,1.2579,3.452,5.59
2004-01-29,5768.200195,1134.11,1.2591,3.44,5.58
2004-01-30,5736.399902,1131.13,1.2525,3.505,5.53
2004-02-02,5788.299805,1135.26,1.261,3.509,5.55
2004-02-03,5735.0,1136.03,1.2483,3.435,5.52
2004-02-04,5775.600098,1126.52,1.2505,3.446,5.53
2004-02-05,5758.200195,1128.59,1.2482,3.471,5.55
2004-02-06,5810.899902,1142.76,1.2349,3.485,5.51
2004-02-09,5869.799805,1139.81,1.2354,3.446,5.49
2004-02-10,5880.0,1145.54,1.2375,3.433,5.52
2004-02-11,5882.100098,1157.76,1.2292,3.402,5.48
2004-02-12,5846.700195,1152.11,1.23,3.418,5.53
2004-02-13,5849.100098,1145.81,1.2389,3.401,5.5
2004-02-17,5871.700195,1156.99,1.2255,3.408,5.5
2004-02-18,5828.799805,1151.82,1.238,3.399,5.49
2004-02-19,5874.600098,1147.06,1.2349,3.401,5.47
2004-02-20,5856.5,1144.11,1.2597,3.441,5.53
2004-02-23,5880.200195,1140.99,1.2551,3.467,5.49
2004-02-24,5801.799805,1139.09,1.2424,3.454,5.47
2004-02-25,5811.5,1143.67,1.259,3.454,5.46
2004-02-26,5797.399902,1144.91,1.2662,3.456,5.49
2004-02-27,5798.399902,1144.94,1.2614,3.439,5.43
2004-03-01,5830.700195,1155.96,1.2684,3.455,5.43
2004-03-02,5896.299805,1149.1,1.2974,3.455,5.47
2004-03-03,5872.200195,1151.04,1.2936,3.469,5.48
2004-03-04,5934.399902,1154.88,1.2919,3.466,5.45
2004-03-05,5895.799805,1156.87,1.2782,3.459,5.32
2004-03-08,5884.5,1147.21,1.2718,3.444,5.29
2004-03-09,5858.799805,1140.58,1.2814,3.427,5.24
2004-03-10,5877.100098,1123.89,1.2878,3.425,5.26
2004-03-11,5706.700195,1106.78,1.2668,3.413,5.27
2004-03-12,5700.5,1120.57,1.2833,3.396,5.29
2004-03-15,5620.299805,1104.49,1.2743,3.404,5.28
2004-03-16,5646.200195,1110.7,1.2787,3.41,5.27
2004-03-17,5692.200195,1123.75,1.2782,3.412,5.27
2004-03-18,5609.5,1122.32,1.257,3.407,5.28
2004-03-19,5621.5,1109.78,1.2697,3.411,5.31
2004-03-22,5469.0,1095.4,1.2567,3.418,5.24
2004-03-23,5509.799805,1093.95,1.2565,3.409,5.26
2004-03-24,5504.0,1091.33,1.2766,3.403,5.26
2004-03-25,5592.299805,1109.19,1.2799,3.371,5.28
2004-03-26,5587.0,1108.06,1.2837,3.373,5.36
2004-03-29,5644.200195,1122.47,1.2836,3.394,5.4
2004-03-30,5623.100098,1127.0,1.281,3.397,5.41
2004-03-31,5618.600098,1126.21,1.266,3.383,5.37
2004-04-01,5716.799805,1132.17,1.2629,3.389,5.4
2004-04-02,5784.600098,1141.81,1.2917,3.41,5.55
2004-04-05,5815.299805,1150.57,1.3045,3.458,5.62
2004-04-06,5767.299805,1148.16,1.2863,3.438,5.6
2004-04-07,5771.100098,1140.53,1.2776,3.415,5.59
2004-04-08,5803.399902,1139.32,1.283,3.416,5.62
2004-04-12,5803.399902,1145.2,1.2832,3.416,5.64
2004-04-13,5804.5,1129.44,1.3,3.43,5.73
2004-04-14,5761.299805,1128.17,1.2992,3.433,5.76
2004-04-15,5784.600098,1128.84,1.2944,3.419,5.8
2004-04-16,5769.899902,1134.61,1.2955,3.429,5.77
2004-04-19,5787.799805,1135.82,1.2917,3.428,5.79
2004-04-20,5829.200195,1118.15,1.3137,3.42,5.82
2004-04-21,5795.100098,1124.09,1.3163,3.448,5.82
2004-04-22,5789.600098,1139.93,1.3066,3.437,5.78
2004-04-23,5818.100098,1140.6,1.3143,3.437,5.84
2004-04-26,5881.200195,1135.53,1.3078,3.457,5.81
2004-04-27,5869.299805,1138.11,1.298,3.481,5.8
2004-04-28,5792.899902,1122.41,1.3061,3.474,5.85
2004-04-29,5783.799805,1113.89,1.2923,3.466,5.89
2004-04-30,5774.399902,1107.3,1.294,3.412,5.87
2004-05-03,5816.899902,1117.49,1.3013,3.382,5.87
2004-05-04,5829.700195,1119.55,1.281,3.349,5.92
2004-05-05,5891.200195,1121.53,1.2753,3.329,5.91
2004-05-06,5832.399902,1113.99,1.2847,3.345,5.98
2004-05-07,5827.700195,1098.7,1.2988,3.394,6.06
2004-05-10,5641.799805,1087.12,1.2992,3.456,6.12
2004-05-11,5723.100098,1095.45,1.295,3.486,6.08
2004-05-12,5644.899902,1097.28,1.2935,3.454,6.13
2004-05-13,5714.600098,1096.44,1.3041,3.469,6.18
2004-05-14,5685.0,1095.7,1.2969,3.489,6.12
2004-05-17,5607.899902,1084.1,1.2753,3.436,6.06
2004-05-18,5638.399902,1091.49,1.2834,3.428,6.08
2004-05-19,5710.0,1088.68,1.2788,3.438,6.12
2004-05-20,5710.0,1089.19,1.2852,3.438,6.05
2004-05-21,5645.100098,1093.56,1.279,3.433,6.08
2004-05-24,5681.799805,1095.41,1.2797,3.487,6.06
2004-05-25,5646.899902,1113.05,1.2728,3.479,6.03
2004-05-26,5671.700195,1114.94,1.2714,3.476,6.0
2004-05-27,5705.799805,1121.28,1.2442,3.466,5.93
2004-05-28,5627.100098,1120.68,1.2517,3.465,5.97
2004-06-01,5589.5,1121.2,1.2463,3.479,6.02
2004-06-02,5631.700195,1124.99,1.25,3.488,6.04
2004-06-03,5660.5,1116.64,1.25,3.495,6.03
2004-06-04,5688.399902,1122.5,1.2393,3.53,6.07
2004-06-07,5744.200195,1140.42,1.2362,3.545,6.07
2004-06-08,5733.5,1142.18,1.2381,3.534,6.06
2004-06-09,5715.200195,1131.33,1.2555,3.546,6.1
2004-06-10,5680.5,1136.47,1.245,3.574,6.08
2004-06-14,5633.600098,1125.29,1.2552,3.583,6.14
2004-06-15,5671.700195,1132.01,1.2486,3.558,5.97
2004-06-16,5710.0,1133.56,1.2676,3.533,6.02
2004-06-17,5706.200195,1132.05,1.2546,3.54,5.96
2004-06-18,5693.899902,1135.02,1.2435,3.53,5.98
2004-06-21,5716.5,1130.3,1.2452,3.541,5.98
2004-06-22,5658.399902,1134.41,1.2482,3.52,5.99
2004-06-23,5653.899902,1144.06,1.2534,3.536,5.98
2004-06-24,5674.5,1140.65,1.2443,3.517,5.95
2004-06-25,5681.5,1134.43,1.247,3.518,5.95
2004-06-28,5706.299805,1133.35,1.2489,3.545,6.03
2004-06-29,5688.299805,1136.2,1.2644,3.579,5.98
2004-06-30,5619.100098,1140.84,1.2504,3.578,5.91
2004-07-01,5625.700195,1128.94,1.249,3.579,5.89
2004-07-02,5606.799805,1125.38,1.2332,3.577,5.81
2004-07-06,5549.899902,1116.21,1.2366,3.556,5.83
2004-07-07,5541.399902,1118.33,1.2266,3.536,5.83
2004-07-08,5578.700195,1109.11,1.2244,3.516,5.83
2004-07-09,5548.100098,1112.81,1.2225,3.522,5.83
2004-07-12,5532.700195,1114.35,1.2248,3.496,5.81
2004-07-13,5531.299805,1115.14,1.2355,3.49,5.84
2004-07-14,5548.299805,1111.47,1.2293,3.514,5.83
2004-07-15,5477.899902,1106.69,1.2364,3.515,5.83
2004-07-16,5461.200195,1101.39,1.2246,3.513,5.73
2004-07-19,5429.700195,1100.9,1.2292,3.494,5.73
2004-07-20,5498.200195,1108.67,1.2434,3.489,5.78
2004-07-21,5561.700195,1093.88,1.2495,3.506,5.81
2004-07-22,5476.899902,1096.84,1.2481,3.506,5.8
2004-07-23,5482.0,1086.2,1.2659,3.492,5.77
2004-07-26,5444.0,1084.06,1.265,3.509,5.8
2004-07-27,5501.899902,1094.83,1.2749,3.517,5.91
