Date,SMI,SP500,USD_CHF,BondCH,BondUS
2004-07-28,5514.700195,1095.42,1.2763,3.53,5.91
2004-07-29,5553.399902,1100.43,1.281,3.504,5.9
2004-07-30,5547.200195,1101.72,1.2813,3.5,5.81
2004-08-02,5537.799805,1106.62,1.2799,3.484,5.79
2004-08-03,5588.600098,1099.69,1.2791,3.501,5.77
2004-08-04,5518.899902,1098.63,1.2749,3.475,5.77
2004-08-05,5515.200195,1080.7,1.2754,3.474,5.75
2004-08-06,5403.100098,1063.97,1.2505,3.475,5.64
2004-08-09,5358.600098,1065.22,1.2539,3.455,5.65
2004-08-10,5383.0,1079.04,1.2617,3.462,5.67
2004-08-11,5369.299805,1075.79,1.2613,3.469,5.67
2004-08-12,5356.0,1063.23,1.2571,3.456,5.66
2004-08-13,5309.799805,1064.8,1.2383,3.432,5.61
2004-08-16,5354.200195,1079.34,1.2406,3.453,5.64
2004-08-17,5378.399902,1081.71,1.2447,3.469,5.6
2004-08-18,5325.200195,1095.17,1.244,3.451,5.62
2004-08-19,5351.899902,1091.23,1.2423,3.46,5.6
2004-08-20,5344.200195,1098.35,1.249,3.448,5.61
2004-08-23,5394.299805,1095.68,1.2682,3.464,5.65
2004-08-24,5380.200195,1096.19,1.2714,3.48,5.65
2004-08-25,5374.799805,1104.96,1.273,3.48,5.63
2004-08-26,5432.399902,1105.09,1.2725,3.497,5.6
2004-08-27,5463.899902,1107.77,1.2784,3.488,5.6
2004-08-30,5448.799805,1099.15,1.2797,3.51,5.57
2004-08-31,5421.700195,1104.24,1.2667,3.479,5.51
2004-09-01,5468.0,1105.91,1.2602,3.445,5.51
2004-09-02,5449.799805,1118.31,1.2613,3.45,5.55
2004-09-03,5502.5,1113.63,1.2714,3.465,5.63
2004-09-07,5559.799805,1121.3,1.2678,3.477,5.57
2004-09-08,5556.5,1116.27,1.2594,3.457,5.51
2004-09-09,5522.299805,1118.38,1.2577,3.426,5.55
2004-09-10,5536.799805,1123.92,1.2573,3.422,5.53
2004-09-13,5573.299805,1125.82,1.2585,3.412,5.5
2004-09-14,5538.5,1128.33,1.2575,3.415,5.49
2004-09-15,5536.600098,1120.37,1.2694,3.405,5.51
2004-09-16,5525.700195,1123.5,1.2679,3.423,5.43
2004-09-17,5543.100098,1128.55,1.2676,3.384,5.47
2004-09-20,5548.5,1122.2,1.2721,3.407,5.42
2004-09-21,5602.700195,1129.3,1.2537,3.404,5.39
2004-09-22,5572.600098,1113.56,1.2596,3.413,5.33
2004-09-23,5511.299805,1108.36,1.2603,3.389,5.35
2004-09-24,5491.299805,1110.11,1.2603,3.392,5.35
2004-09-27,5446.0,1103.52,1.2597,3.398,5.32
2004-09-28,5499.700195,1110.06,1.2596,3.395,5.35
2004-09-29,5531.399902,1114.8,1.2585,3.391,5.41
2004-09-30,5465.299805,1114.58,1.2455,3.379,5.47
2004-10-01,5528.899902,1131.5,1.2494,3.39,5.53
2004-10-04,5600.899902,1135.17,1.2644,3.382,5.52
2004-10-05,5596.899902,1134.48,1.2617,3.365,5.52
2004-10-06,5593.899902,1142.05,1.2655,3.333,5.57
2004-10-07,5534.700195,1130.65,1.2626,3.337,5.6
2004-10-08,5503.700195,1122.14,1.2504,3.35,5.5
2004-10-11,5474.700195,1124.39,1.2507,3.32,5.5
2004-10-12,5443.600098,1121.84,1.256,3.341,5.48
2004-10-13,5462.799805,1113.65,1.2519,3.271,5.47
2004-10-14,5402.600098,1103.29,1.2439,3.26,5.43
2004-10-15,5362.399902,1108.2,1.2333,3.26,5.47
2004-10-18,5365.399902,1114.02,1.2323,3.251,5.47
2004-10-19,5417.5,1103.23,1.229,3.254,5.44
2004-10-20,5376.299805,1103.66,1.2219,3.234,5.43
2004-10-21,5400.899902,1106.49,1.2173,3.198,5.42
2004-10-22,5391.100098,1095.74,1.2095,3.227,5.39
2004-10-25,5309.700195,1094.81,1.1956,3.228,5.39
2004-10-26,5330.0,1111.09,1.2009,3.197,5.39
2004-10-27,5374.899902,1125.4,1.207,3.193,5.47
2004-10-28,5414.200195,1127.44,1.207,3.194,5.46
2004-10-29,5363.399902,1130.2,1.1951,3.203,5.41
2004-11-01,5422.299805,1130.51,1.2023,3.172,5.5
2004-11-02,5486.100098,1130.54,1.2054,3.204,5.5
2004-11-03,5538.899902,1143.2,1.1941,3.214,5.48
2004-11-04,5549.899902,1161.67,1.1879,3.174,5.46
2004-11-05,5618.299805,1166.17,1.1768,3.159,5.56
2004-11-08,5602.5,1164.89,1.182,3.163,5.59
2004-11-09,5573.200195,1164.08,1.1835,3.16,5.62
2004-11-10,5609.600098,1162.91,1.1823,3.138,5.62
2004-11-11,5649.700195,1173.48,1.1776,3.101,5.62
2004-11-12,5689.200195,1184.17,1.1701,3.068,5.53
2004-11-15,5674.299805,1183.81,1.1796,3.066,5.52
2004-11-16,5653.600098,1175.43,1.1754,3.058,5.52
2004-11-17,5681.5,1181.94,1.1622,3.059,5.46
2004-11-18,5673.799805,1183.55,1.1716,3.05,5.43
2004-11-19,5605.0,1170.34,1.1601,3.097,5.48
2004-11-22,5562.200195,1177.24,1.1631,3.114,5.44
2004-11-23,5525.799805,1176.94,1.1572,3.064,5.45
2004-11-24,5501.200195,1181.76,1.1453,3.031,5.45
2004-11-26,5548.5,1182.65,1.1387,2.985,5.5
2004-11-29,5519.5,1178.57,1.1432,2.973,5.58
2004-11-30,5444.200195,1173.82,1.1395,2.97,5.62
2004-12-01,5509.299805,1191.37,1.1405,2.955,5.63
2004-12-02,5569.299805,1190.33,1.1526,2.951,5.65
2004-12-03,5555.200195,1191.17,1.1297,2.944,5.54
2004-12-06,5520.700195,1190.25,1.1414,2.925,5.51
2004-12-07,5561.100098,1177.07,1.1404,2.925,5.5
2004-12-08,5566.700195,1182.81,1.1485,2.913,5.37
2004-12-09,5557.799805,1189.24,1.1509,2.913,5.42
2004-12-10,5581.799805,1188.0,1.1607,2.919,5.41
2004-12-13,5624.899902,1198.68,1.1531,2.907,5.42
2004-12-14,5653.0,1203.38,1.1536,2.91,5.39
2004-12-15,5640.299805,1205.72,1.1419,2.914,5.3
2004-12-16,5650.5,1203.21,1.1584,2.936,5.41
2004-12-17,5603.399902,1194.22,1.1564,2.932,5.46
2004-12-20,5650.700195,1194.65,1.1496,2.952,5.44
2004-12-21,5640.799805,1205.45,1.1537,2.961,5.42
2004-12-22,5687.700195,1209.57,1.1525,2.948,5.45
2004-12-23,5695.200195,1210.13,1.1431,2.927,5.47
2004-12-27,5685.5,1204.92,1.1346,2.921,5.54
2004-12-28,5686.5,1213.54,1.1349,2.905,5.53
2004-12-29,5692.399902,1213.45,1.1337,2.92,5.55
2004-12-30,5693.200195,1213.55,1.1334,2.923,5.49
2004-12-31,5693.200195,1211.92,1.1405,2.923,5.43
2005-01-03,5768.700195,1202.08,1.147,2.986,5.43
2005-01-04,5775.5,1188.05,1.1676,2.86,5.49
2005-01-05,5725.5,1183.74,1.1669,2.879,5.47
2005-01-06,5742.399902,1187.89,1.174,2.879,5.48
2005-01-07,5735.200195,1186.19,1.1841,2.852,5.47
2005-01-10,5731.799805,1190.25,1.1794,2.837,5.45
2005-01-11,5713.100098,1182.99,1.1824,2.82,5.42
2005-01-12,5669.600098,1187.7,1.1676,2.826,5.4
2005-01-13,5687.799805,1177.45,1.1721,2.84,5.35
2005-01-14,5730.100098,1184.52,1.1791,2.802,5.36
2005-01-18,5739.399902,1195.98,1.1853,2.778,5.32
2005-01-19,5749.5,1184.63,1.1851,2.782,5.3
2005-01-20,5728.100098,1175.41,1.1902,2.772,5.29
2005-01-21,5738.100098,1167.87,1.1854,2.756,5.29
2005-01-24,5750.5,1163.75,1.185,2.752,5.25
2005-01-25,5766.100098,1168.41,1.1934,2.739,5.32
2005-01-26,5768.399902,1174.07,1.1825,2.749,5.3
2005-01-27,5773.700195,1174.55,1.1843,2.767,5.3
2005-01-28,5750.700195,1171.36,1.1855,2.761,5.24
2005-01-31,5771.399902,1181.27,1.1878,2.757,5.22
2005-02-01,5797.899902,1189.41,1.1907,2.736,5.22
2005-02-02,5795.100098,1193.19,1.193,2.673,5.21
2005-02-03,5816.899902,1189.89,1.2025,2.669,5.21
2005-02-04,5843.100098,1203.03,1.2132,2.675,5.14
2005-02-07,5870.700195,1201.72,1.2238,2.659,5.09
2005-02-08,5881.200195,1202.3,1.221,2.639,5.05
2005-02-09,5866.5,1191.99,1.2164,2.6,5.03
2005-02-10,5871.200195,1197.01,1.2074,2.597,5.13
2005-02-11,5915.299805,1205.3,1.2095,2.615,5.16
2005-02-14,5913.0,1206.14,1.1979,2.618,5.11
2005-02-15,5916.899902,1210.12,1.1891,2.62,5.14
2005-02-16,5870.799805,1210.34,1.188,2.624,5.19
2005-02-17,5882.899902,1200.75,1.1838,2.663,5.23
2005-02-18,5901.700195,1201.59,1.1832,2.719,5.32
2005-02-22,5911.5,1184.16,1.1587,2.801,5.33
2005-02-23,5867.200195,1190.8,1.164,2.811,5.3
2005-02-24,5886.200195,1200.2,1.1699,2.847,5.3
2005-02-25,5936.200195,1211.37,1.162,2.85,5.28
2005-02-28,5931.299805,1203.6,1.1638,2.846,5.35
2005-03-01,5975.5,1210.41,1.167,2.872,5.35
2005-03-02,6013.399902,1210.08,1.1736,2.868,5.37
2005-03-03,5998.799805,1210.47,1.1811,2.87,5.37
2005-03-04,6009.299805,1222.12,1.1684,2.857,5.26
2005-03-07,6014.600098,1225.31,1.1743,2.834,5.23
2005-03-08,5980.200195,1219.43,1.1607,2.792,5.3
2005-03-09,5965.5,1207.01,1.1602,2.806,5.43
2005-03-10,5945.700195,1209.25,1.1525,2.894,5.37
2005-03-11,5971.899902,1200.08,1.1491,2.883,5.42
2005-03-14,5963.0,1206.83,1.1597,2.895,5.39
2005-03-15,6011.5,1197.75,1.1652,2.914,5.42
2005-03-16,5944.799805,1188.07,1.1529,2.906,5.4
2005-03-17,5929.0,1190.21,1.1574,2.876,5.37
2005-03-18,5897.0,1189.65,1.1636,2.895,5.42
2005-03-21,5907.700195,1183.78,1.1789,2.947,5.44
2005-03-22,5915.600098,1171.71,1.189,2.923,5.5
2005-03-23,5926.0,1172.53,1.1959,2.958,5.49
2005-03-24,5935.5,1171.42,1.2025,2.944,5.47
2005-03-28,5935.5,1174.28,1.2037,2.944,5.52
2005-03-29,5959.799805,1165.36,1.2,2.934,5.48
2005-03-30,5932.899902,1181.41,1.2,2.894,5.44
2005-03-31,5929.700195,1180.59,1.1958,2.871,5.4
2005-04-01,5950.899902,1172.92,1.2024,2.826,5.36
2005-04-04,5903.200195,1176.12,1.2089,2.815,5.38
2005-04-05,5947.399902,1181.39,1.2064,2.803,5.42
2005-04-06,6002.399902,1184.07,1.2059,2.792,5.41
2005-04-07,6023.700195,1191.14,1.2074,2.773,5.48
2005-04-08,6016.600098,1181.2,1.1964,2.766,5.47
2005-04-11,6014.700195,1181.21,1.1936,2.765,5.42
2005-04-12,5988.100098,1187.76,1.1995,2.751,5.34
2005-04-13,6012.299805,1173.79,1.2,2.715,5.37
2005-04-14,6030.5,1162.05,1.2154,2.707,5.39
2005-04-15,6019.0,1142.62,1.1999,2.662,5.3
2005-04-18,5925.399902,1145.98,1.1877,2.6,5.28
2005-04-19,5977.899902,1152.78,1.1804,2.634,5.23
2005-04-20,5914.700195,1137.5,1.1772,2.612,5.26
2005-04-21,5903.0,1159.95,1.183,2.623,5.33
2005-04-22,5912.899902,1152.12,1.1804,2.669,5.27
2005-04-25,5899.899902,1162.1,1.1883,2.639,5.25
2005-04-26,5914.0,1151.74,1.1867,2.652,5.26
2005-04-27,5840.5,1156.38,1.1934,2.659,5.24
2005-04-28,5850.100098,1143.22,1.1918,2.644,5.2
2005-04-29,5870.799805,1156.85,1.195,2.615,5.21
2005-05-02,5924.600098,1162.16,1.1988,2.607,5.21
2005-05-03,5933.700195,1161.17,1.1973,2.601,5.21
2005-05-04,6001.899902,1175.65,1.1913,2.597,5.28
2005-05-05,6001.899902,1172.63,1.1936,2.597,5.28
2005-05-06,6027.100098,1171.35,1.2055,2.612,5.29
2005-05-09,6002.899902,1178.84,1.2043,2.648,5.27
2005-05-10,5917.5,1166.22,1.2,2.624,5.23
2005-05-11,5919.899902,1171.11,1.2054,2.616,5.2
2005-05-12,5948.700195,1159.36,1.2171,2.599,5.17
2005-05-13,5943.0,1154.05,1.2259,2.59,5.13
2005-05-16,5943.0,1165.69,1.2221,2.59,5.13
2005-05-17,5945.100098,1173.8,1.2255,2.638,5.11
2005-05-18,5996.899902,1185.56,1.2177,2.62,5.07
2005-05-19,6017.799805,1191.08,1.2221,2.608,5.11
2005-05-20,6023.100098,1189.28,1.2322,2.628,5.1
2005-05-23,6038.600098,1193.86,1.2312,2.617,5.06
2005-05-24,6080.0,1194.07,1.2306,2.581,5.04
2005-05-25,6095.100098,1190.01,1.2272,2.567,5.09
2005-05-26,6138.200195,1197.62,1.2363,2.568,5.1
2005-05-27,6160.799805,1198.78,1.2298,2.57,5.1
2005-05-31,6127.200195,1191.5,1.2476,2.56,5.02
2005-06-01,6210.299805,1202.27,1.2558,2.558,4.93
2005-06-02,6228.700195,1204.29,1.2517,2.553,4.9
2005-06-03,6210.299805,1196.02,1.2526,2.569,4.95
2005-06-06,6186.0,1197.51,1.2495,2.559,4.92
2005-06-07,6237.399902,1197.26,1.246,2.534,4.87
2005-06-08,6236.700195,1194.67,1.2539,2.517,4.89
2005-06-09,6244.700195,1200.93,1.2544,2.522,4.92
2005-06-10,6239.399902,1198.11,1.2681,2.528,4.99
2005-06-13,6266.200195,1200.82,1.2704,2.512,5.04
2005-06-14,6268.399902,1203.91,1.2779,2.534,5.1
2005-06-15,6257.100098,1206.58,1.2701,2.479,5.09
2005-06-16,6257.799805,1210.96,1.2722,2.576,5.04
2005-06-17,6263.5,1216.96,1.2573,2.546,5.04
2005-06-20,6236.799805,1216.1,1.2708,2.564,5.06
2005-06-21,6294.100098,1213.61,1.266,2.586,5.0
2005-06-22,6286.899902,1213.88,1.2718,2.573,4.92
2005-06-23,6273.700195,1200.73,1.2797,2.549,4.93
2005-06-24,6223.200195,1191.57,1.275,2.553,4.89
2005-06-27,6191.100098,1190.69,1.2682,2.576,4.86
2005-06-28,6208.600098,1201.57,1.2796,2.574,4.91
2005-06-29,6261.200195,1199.85,1.2814,2.593,4.96
2005-06-30,6253.100098,1191.33,1.2831,2.55,4.91
2005-07-01,6279.799805,1194.44,1.2964,2.539,4.99
2005-07-05,6282.799805,1204.99,1.3023,2.509,5.05
2005-07-06,6309.0,1194.94,1.3026,2.51,5.02
