Date;SARON_close;US_IR
2005-04-12;0,623382;2,62
2005-04-13;0,54489;2,62
2005-04-14;0,522952;2,62
2005-04-15;0,535879;2,63
2005-04-18;0,584767;2,67
2005-04-19;0,609414;2,73
2005-04-20;0,654029;2,65
2005-04-21;0,652186;2,59
2005-04-22;0,681809;2,64
2005-04-25;0,632718;2,67
2005-04-26;0,62059;2,7
2005-04-27;0,587736;2,65
2005-04-28;0,613577;2,6
2005-04-29;0,646173;2,7
2005-05-02;0,640115;2,68
2005-05-03;0,638968;2,65
2005-05-04;0,705805;2,59
2005-05-05;;2,6
2005-05-06;0,715295;2,64
2005-05-09;0,79706;2,66
2005-05-10;0,670552;2,6
2005-05-11;0,588816;2,6
2005-05-12;0,595132;2,58
2005-05-13;0,549254;2,47
2005-05-16;;2,48
2005-05-17;0,595143;2,6
2005-05-18;0,535946;2,6
2005-05-19;0,421843;2,63
2005-05-20;0,598179;2,66
2005-05-23;0,608089;2,69
2005-05-24;0,617208;2,82
2005-05-25;0,658995;2,79
2005-05-26;0,618989;2,77
2005-05-27;0,596028;2,77
2005-05-30;0,585073;
2005-05-31;0,665846;2,8
2005-06-01;0,622255;2,79
2005-06-02;0,61689;2,8
2005-06-03;0,617008;2,82
2005-06-06;0,646788;2,83
2005-06-07;0,618512;2,82
2005-06-08;0,637244;2,83
2005-06-09;0,624104;2,81
2005-06-10;0,636856;2,82
2005-06-13;0,622696;2,82
2005-06-14;0,617047;2,78
2005-06-15;0,61689;2,78
2005-06-16;0,644239;2,76
2005-06-17;0,64586;2,79
2005-06-20;0,652037;2,81
2005-06-21;0,627891;2,85
2005-06-22;0,62591;2,84
2005-06-23;0,595538;2,79
2005-06-24;0,590106;2,78
2005-06-27;0,612827;2,85
2005-06-28;0,58434;2,99
2005-06-29;0,577483;2,95
2005-06-30;0,631008;2,99
2005-07-01;0,624217;3,02
2005-07-04;0,643105;
2005-07-05;0,675051;3,03
2005-07-06;0,695605;3,04
2005-07-07;0,670053;3
2005-07-08;0,68743;2,99
2005-07-11;0,716331;2,98
2005-07-12;0,707073;3,02
2005-07-13;0,709924;3,03
2005-07-14;0,717407;3,04
2005-07-15;0,56756;3,04
2005-07-18;0,54648;3,06
2005-07-19;0,325118;3,13
2005-07-20;0,637388;3,11
2005-07-21;0,617581;3,13
2005-07-22;0,611262;3,16
2005-07-25;0,650428;3,2
2005-07-26;0,656456;3,25
2005-07-27;0,650893;3,23
2005-07-28;0,64929;3,25
2005-07-29;0,678098;3,25
2005-08-01;;3,3
2005-08-02;0,698199;3,35
2005-08-03;0,68165;3,34
2005-08-04;0,686891;3,34
2005-08-05;0,673331;3,35
2005-08-08;0,656505;3,38
2005-08-09;0,643107;3,37
2005-08-10;0,641861;3,38
2005-08-11;0,566901;3,31
2005-08-12;0,531775;3,32
2005-08-15;0,638011;3,28
2005-08-16;0,651474;3,32
2005-08-17;0,638606;3,31
2005-08-18;0,62777;3,3
2005-08-19;0,587817;3,33
2005-08-22;0,655165;3,34
2005-08-23;0,631819;3,34
2005-08-24;0,667225;3,34
2005-08-25;0,631286;3,34
2005-08-26;0,620267;3,36
2005-08-29;0,646429;3,42
2005-08-30;0,652866;3,4
2005-08-31;0,677405;3,41
2005-09-01;0,647201;3,35
2005-09-02;0,632119;3,38
2005-09-05;0,622301;
2005-09-06;0,593728;3,39
2005-09-07;0,61396;3,36
2005-09-08;0,62988;3,31
2005-09-09;0,632638;3,32
2005-09-12;0,63529;3,33
2005-09-13;0,587005;3,3
2005-09-14;0,602524;3,25
2005-09-15;0,608688;3,23
2005-09-16;0,602839;3,23
2005-09-19;0,63831;3,23
2005-09-20;0,628887;3,29
2005-09-21;0,631219;3,02
2005-09-22;0,631185;2,99
2005-09-23;0,635387;3,06
2005-09-26;0,624477;3,19
2005-09-27;0,630605;3,15
2005-09-28;0,636491;3,12
2005-09-29;0,631849;3,09
2005-09-30;0,674366;3,15
2005-10-03;0,673322;3,22
2005-10-04;0,705321;3,35
2005-10-05;0,732612;3,34
2005-10-06;0,702773;3,34
2005-10-07;0,692921;3,35
2005-10-10;0,695842;
2005-10-11;0,697661;3,41
2005-10-12;0,701034;3,49
2005-10-13;0,685411;3,5
2005-10-14;0,664768;3,49
2005-10-17;0,593451;3,53
2005-10-18;0,421686;3,57
2005-10-19;0,273047;3,57
2005-10-20;0,638189;3,46
2005-10-21;0,635775;3,48
2005-10-24;0,642725;3,51
2005-10-25;0,629358;3,71
2005-10-26;0,628617;3,7
2005-10-27;0,630327;3,72
2005-10-28;0,6248;3,75
2005-10-31;0,673334;3,77
2005-11-01;0,65717;3,78
2005-11-02;0,639179;3,77
2005-11-03;0,644087;3,81
2005-11-04;0,63637;3,8
2005-11-07;0,636845;3,81
2005-11-08;0,632393;3,88
2005-11-09;0,622812;3,91
2005-11-10;0,617539;3,89
2005-11-11;0,573955;
2005-11-14;0,562724;3,93
2005-11-15;0,599182;4,01
2005-11-16;0,643461;4
2005-11-17;0,643498;3,98
2005-11-18;0,623597;3,95
2005-11-21;0,642153;3,93
2005-11-22;0,634269;3,94
2005-11-23;0,63161;3,94
2005-11-24;0,616337;
2005-11-25;0,593012;3,91
2005-11-28;0,635988;3,94
2005-11-29;0,643888;3,99
2005-11-30;0,68404;4
2005-12-01;0,673331;3,99
2005-12-02;0,70792;4
2005-12-05;0,695613;4,01
2005-12-06;0,522207;3,84
2005-12-07;0,379274;3,84
2005-12-08;0,438045;3,67
2005-12-09;0,415867;3,62
2005-12-12;0,572401;3,59
2005-12-13;0,504742;3,61
2005-12-14;0,424522;3,61
2005-12-15;0,306719;3,6
2005-12-16;0,147528;3,56
2005-12-19;0,116344;3,56
2005-12-20;0,550513;3,55
2005-12-21;0,706275;3,56
2005-12-22;0,712527;3,55
2005-12-23;0,688037;3,48
2005-12-26;;
2005-12-27;0,535269;3,51
2005-12-28;0,4303;3,57
2005-12-29;0,463778;3,67
2005-12-30;0,609864;4,01
2006-01-02;;
2006-01-03;0,72419;4,05
2006-01-04;0,73256;4,03
2006-01-05;0,740877;4,05
2006-01-06;0,747706;4,06
2006-01-09;0,723663;4,09
2006-01-10;0,570585;4,15
2006-01-11;0,432879;4,16
2006-01-12;0,407352;4,16
2006-01-13;0,71555;4,13
2006-01-16;0,693904;
2006-01-17;0,693329;4,11
2006-01-18;0,726836;4,04
2006-01-19;0,749367;3,98
2006-01-20;0,787974;3,95
2006-01-23;0,743688;3,98
2006-01-24;0,757711;4,24
2006-01-25;0,785376;4,22
2006-01-26;0,77494;4,17
2006-01-27;0,790084;4,19
2006-01-30;0,79958;4,18
2006-01-31;0,828563;4,37
2006-02-01;0,809487;4,33
2006-02-02;0,794157;4,32
2006-02-03;0,803572;4,31
2006-02-06;0,821497;4,32
2006-02-07;0,827323;4,33
2006-02-08;0,832385;4,34
2006-02-09;0,797;4,32
2006-02-10;0,82524;4,36
2006-02-13;0,837903;4,38
2006-02-14;0,852371;4,42
2006-02-15;0,868402;4,39
2006-02-16;0,94759;4,38
2006-02-17;0,912011;4,39
2006-02-20;0,929044;
2006-02-21;0,885692;4,42
2006-02-22;0,838172;4,44
2006-02-23;0,812453;4,44
2006-02-24;0,809777;4,45
2006-02-27;0,898679;4,48
2006-02-28;0,895374;4,47
2006-03-01;0,819191;4,45
2006-03-02;0,857185;4,45
2006-03-03;0,674278;4,45
2006-03-06;0,791072;4,44
2006-03-07;0,78477;4,47
2006-03-08;0,732999;4,45
2006-03-09;0,64998;4,44
2006-03-10;0,508068;4,46
2006-03-13;0,546124;4,45
2006-03-14;0,734781;4,49
2006-03-15;0,947716;4,5
2006-03-16;0,948195;4,49
2006-03-17;0,591516;4,5
2006-03-20;0,996478;4,56
2006-03-21;1,039447;4,67
2006-03-22;1,019944;4,67
2006-03-23;1,047127;4,66
2006-03-24;1,057234;4,66
2006-03-27;1,021401;4,66
2006-03-28;0,96116;4,71
2006-03-29;0,957903;4,69
2006-03-30;1,041003;4,67
2006-03-31;1,05294;4,65
2006-04-03;1,021149;4,66
2006-04-04;1,029313;4,64
2006-04-05;1,026152;4,62
2006-04-06;1,024786;4,65
2006-04-07;0,992033;4,64
2006-04-10;1,012022;4,64
2006-04-11;1,042794;4,63
2006-04-12;1,074014;4,62
2006-04-13;0,999828;4,54
2006-04-14;;
2006-04-17;;4,55
2006-04-18;1,065707;4,54
2006-04-19;1,109169;4,54
2006-04-20;1,135542;4,55
2006-04-21;1,12829;4,58
2006-04-24;1,101343;4,58
2006-04-25;1,131153;4,63
2006-04-26;1,105625;4,65
2006-04-27;1,09721;4,64
2006-04-28;1,187275;4,6
2006-05-01;;4,61
2006-05-02;1,270859;4,66
2006-05-03;1,223337;4,65
2006-05-04;0,968459;4,61
2006-05-05;1,058595;4,61
2006-05-08;1,126295;4,64
2006-05-09;1,063646;4,72
2006-05-10;0,892323;4,69
2006-05-11;0,709719;4,64
2006-05-12;0,579104;4,64
2006-05-15;0,617062;4,68
2006-05-16;0,710011;4,76
2006-05-17;0,779626;4,75
2006-05-18;0,919867;4,75
2006-05-19;1,026948;4,75
2006-05-22;1,134744;4,74
2006-05-23;1,10709;4,75
2006-05-24;1,051327;4,74
2006-05-25;;4,74
2006-05-26;1,085445;4,75
2006-05-29;0,986537;
2006-05-30;0,960405;4,76
2006-05-31;1,11309;4,75
2006-06-01;1,147009;4,75
2006-06-02;1,057133;4,75
2006-06-05;;4,77
2006-06-06;1,132494;4,8
2006-06-07;1,151284;4,8
2006-06-08;1,175244;4,78
2006-06-09;1,036741;4,78
2006-06-12;0,925736;4,78
2006-06-13;0,864159;4,72
2006-06-14;0,877673;4,68
2006-06-15;1,1445;4,6
2006-06-16;1,157537;4,63
2006-06-19;1,264397;4,67
2006-06-20;1,332925;4,7
2006-06-21;1,338557;4,66
2006-06-22;1,337955;4,55
2006-06-23;1,276905;4,61
2006-06-26;1,233285;4,73
2006-06-27;1,058364;4,86
2006-06-28;1,205052;4,79
2006-06-29;1,256176;4,68
2006-06-30;1,242492;4,54
2006-07-03;1,313229;4,69
2006-07-04;1,322613;
2006-07-05;1,300501;4,81
2006-07-06;1,12705;4,8
2006-07-07;1,302648;4,83
2006-07-10;1,278962;4,86
2006-07-11;1,163013;4,9
2006-07-12;1,148428;4,92
2006-07-13;1,025502;4,88
2006-07-14;0,999745;4,87
2006-07-17;1,324296;4,91
2006-07-18;1,416225;4,94
2006-07-19;1,259232;4,91
2006-07-20;1,285477;4,87
2006-07-21;1,328756;4,88
2006-07-24;1,322796;4,91
2006-07-25;1,285631;5,01
2006-07-26;1,276573;5
2006-07-27;1,304806;5,02
2006-07-28;1,285368;4,98
2006-07-31;1,345125;5,02
2006-08-01;;5,2
2006-08-02;1,352389;5,2
2006-08-03;1,419925;5,18
2006-08-04;1,341923;5,15
2006-08-07;1,332869;5,18
2006-08-08;1,348709;5,19
2006-08-09;1,351522;5,14
2006-08-10;1,345267;5,12
2006-08-11;1,354483;5,12
2006-08-14;1,373951;5,15
2006-08-15;1,364064;5,18
2006-08-16;1,222;5,16
2006-08-17;1,304614;5,15
2006-08-18;1,285343;5,13
2006-08-21;1,349092;5,15
2006-08-22;1,339064;5,17
2006-08-23;1,376788;5,17
2006-08-24;1,359639;5,16
2006-08-25;1,355613;5,17
2006-08-28;1,3576;5,17
2006-08-29;1,359886;5,19
2006-08-30;1,344429;5,16
2006-08-31;1,370228;5,12
2006-09-01;1,379058;5,07
2006-09-04;1,355442;
2006-09-05;1,383647;4,96
2006-09-06;1,362762;4,89
2006-09-07;1,341549;4,89
2006-09-08;1,291634;4,83
2006-09-11;1,339319;4,85
2006-09-12;1,358259;4,75
2006-09-13;1,354488;4,78
2006-09-14;1,367003;4,81
2006-09-15;1,503876;4,77
2006-09-18;1,530183;4,76
2006-09-19;1,425486;4,72
2006-09-20;1,638994;4,73
2006-09-21;1,613701;4,72
2006-09-22;1,610905;4,73
2006-09-25;1,618596;4,72
2006-09-26;1,61377;4,64
2006-09-27;1,62803;4,6
2006-09-28;1,652646;4,53
2006-09-29;1,682963;4,6
2006-10-02;1,625842;4,67
2006-10-03;1,620374;4,71
2006-10-04;1,642864;4,78
2006-10-05;1,628612;4,81
2006-10-06;1,627953;4,76
2006-10-09;1,608078;
2006-10-10;1,521028;4,81
2006-10-11;1,458585;4,9
2006-10-12;1,526902;4,93
2006-10-13;1,521816;4,93
2006-10-16;1,50794;5,01
2006-10-17;1,53576;5,06
2006-10-18;1,497053;5,05
2006-10-19;1,366046;5,02
2006-10-20;1,638142;5
2006-10-23;1,617841;5,05
2006-10-24;1,579745;5,15
2006-10-25;1,596524;5,14
2006-10-26;1,517697;5,16
2006-10-27;1,536368;5,14
2006-10-30;1,561397;5,15
2006-10-31;1,627171;5,18
2006-11-01;1,647105;5,19
2006-11-02;1,633244;5,18
2006-11-03;1,618357;5,18
2006-11-06;1,641706;5,17
2006-11-07;1,66865;5,2
2006-11-08;1,68658;5,2
2006-11-09;1,658218;5,19
2006-11-10;1,694052;5,2
2006-11-13;1,706845;5,17
2006-11-14;1,776003;5,24
2006-11-15;1,806513;5,24
2006-11-16;1,839246;5,22
2006-11-17;1,956658;5,19
2006-11-20;1,79926;5,19
2006-11-21;1,699144;5,26
2006-11-22;1,686029;5,25
2006-11-23;1,714395;
2006-11-24;1,750012;5,21
2006-11-27;1,732715;5,22
2006-11-28;1,792337;5,27
2006-11-29;1,764783;5,26
2006-11-30;1,768215;5,22
2006-12-01;1,784345;5,21
2006-12-04;1,716327;5,13
2006-12-05;1,66666;4,88
2006-12-06;1,422615;4,91
2006-12-07;1,372712;4,92
2006-12-08;1,350816;4,89
2006-12-11;1,612274;4,85
2006-12-12;1,447052;4,87
2006-12-13;1,573782;4,86
2006-12-14;1,757549;4,87
2006-12-15;2,08587;4,78
2006-12-18;1,7174;4,8
2006-12-19;1,780822;4,84
2006-12-20;2,013523;4,87
2006-12-21;1,927549;4,84
2006-12-22;1,887716;4,82
2006-12-25;;
2006-12-26;;4,81
2006-12-27;1,848558;4,75
2006-12-28;1,701237;4,74
2006-12-29;1,897995;4,75
2007-01-01;;
2007-01-02;;4,79
2007-01-03;1,992454;4,84
2007-01-04;2,02628;4,8
2007-01-05;1,941855;4,81
2007-01-08;1,798285;4,87
2007-01-09;1,407887;4,9
2007-01-10;1,494024;4,94
2007-01-11;1,99197;4,99
2007-01-12;1,84942;4,98
2007-01-15;1,474271;
2007-01-16;1,698992;5
2007-01-17;1,924981;5,01
2007-01-18;1,895756;4,97
2007-01-19;1,751168;4,96
2007-01-22;1,968985;4,98
2007-01-23;1,962467;5,02
2007-01-24;1,963207;4,99
2007-01-25;1,9086;4,97
2007-01-26;1,868447;4,94
2007-01-29;1,872229;4,95
2007-01-30;1,972454;4,99
2007-01-31;1,905279;5
2007-02-01;1,95985;4,99
2007-02-02;1,927828;5,01
2007-02-05;1,905711;5,06
2007-02-06;1,959676;5,14
2007-02-07;1,970355;5,15
2007-02-08;1,994327;5,15
2007-02-09;1,925256;5,15
2007-02-12;1,923605;5,16
2007-02-13;1,880599;5,24
2007-02-14;1,920724;5,23
2007-02-15;2,039693;5,23
2007-02-16;2,043569;5,23
2007-02-19;1,997134;
2007-02-20;1,991513;5,23
2007-02-21;1,942588;5,27
2007-02-22;1,95193;5,26
2007-02-23;1,928068;5,25
2007-02-26;1,89379;5,23
2007-02-27;1,890922;5,22
2007-02-28;1,835111;5,24
2007-03-01;2,004614;5,25
2007-03-02;1,913376;5,23
2007-03-05;1,958409;5,22
2007-03-06;1,92551;5,24
2007-03-07;1,944999;5,24
2007-03-08;1,929497;5,24
2007-03-09;1,885549;5,22
2007-03-12;1,955926;5,22
2007-03-13;2,024456;5,23
2007-03-14;2,006882;5,24
2007-03-15;1,978459;5,21
2007-03-16;1,677594;5,18
2007-03-19;0,759078;5,17
2007-03-20;2,07241;5,22
2007-03-21;2,119297;5,24
2007-03-22;2,067243;5,23
2007-03-23;1,95851;5,24
2007-03-26;1,98487;5,22
2007-03-27;1,834412;5,2
2007-03-28;1,861651;5,18
2007-03-29;1,886602;5,05
2007-03-30;1,979335;5,07
2007-04-02;1,970936;5,12
2007-04-03;2,009617;5,15
2007-04-04;2,012593;5,16
2007-04-05;2,028586;5,1
2007-04-06;;5,1
2007-04-09;;5,08
2007-04-10;2,046217;5
2007-04-11;2,091348;5,01
2007-04-12;1,984508;5
2007-04-13;1,939084;4,98
2007-04-16;2,017467;4,97
2007-04-17;2,053188;4,94
2007-04-18;1,902466;4,94
2007-04-19;1,90661;4,93
2007-04-20;2,086739;4,93
2007-04-23;2,057819;4,93
2007-04-24;2,081044;4,92
2007-04-25;2,051129;4,94
2007-04-26;2,082024;4,91
2007-04-27;2,065023;4,85
2007-04-30;2,066636;4,8
2007-05-01;;4,69
2007-05-02;2,116049;4,72
2007-05-03;2,082261;4,74
2007-05-04;2,044093;4,74
2007-05-07;2,052778;4,76
2007-05-08;2,049442;4,76
2007-05-09;2,050322;4,75
2007-05-10;2,038687;4,77
2007-05-11;2,011069;4,75
2007-05-14;2,140458;4,72
2007-05-15;2,204008;4,79
2007-05-16;2,224371;4,73
2007-05-17;;4,8
2007-05-18;2,429751;4,78
2007-05-21;2,133684;4,85
2007-05-22;2,076459;5,01
2007-05-23;2,037621;5
2007-05-24;1,990729;4,99
2007-05-25;1,946435;4,97
2007-05-28;;
2007-05-29;2,173639;4,95
2007-05-30;2,133035;4,94
2007-05-31;2,165807;4,78
2007-06-01;2,158066;4,8
2007-06-04;2,123463;4,78
2007-06-05;1,972859;4,75
2007-06-06;1,873646;4,78
2007-06-07;2,165801;4,8
2007-06-08;2,185448;4,76
2007-06-11;1,923417;4,7
2007-06-12;1,630734;4,65
2007-06-13;1,752827;4,62
2007-06-14;1,603724;4,51
2007-06-15;2,383656;4,46
2007-06-18;2,162249;4,47
2007-06-19;2,030591;4,44
2007-06-20;2,404978;4,42
2007-06-21;2,520078;4,17
2007-06-22;2,596227;4,29
2007-06-25;2,590256;4,43
2007-06-26;2,554158;4,53
2007-06-27;2,506404;4,24
2007-06-28;2,479485;4,08
2007-06-29;2,418879;4,28
2007-07-02;2,430063;4,55
2007-07-03;2,49492;4,77
2007-07-04;2,590986;
2007-07-05;2,524996;4,76
2007-07-06;2,39067;4,71
2007-07-09;2,431697;4,68
2007-07-10;2,334494;4,74
2007-07-11;2,220365;4,73
2007-07-12;2,142251;4,73
2007-07-13;2,196048;4,72
2007-07-16;2,118021;4,75
2007-07-17;2,119799;4,77
2007-07-18;2,251967;4,77
2007-07-19;2,47675;4,78
2007-07-20;2,387655;4,76
2007-07-23;2,37198;4,88
2007-07-24;2,367843;5,05
2007-07-25;2,353401;5,04
2007-07-26;2,150184;4,98
2007-07-27;2,30784;4,89
2007-07-30;2,428143;4,95
2007-07-31;2,490651;5,13
2007-08-01;;5,05
2007-08-02;2,452421;5,02
2007-08-03;2,392233;4,94
2007-08-06;2,621298;4,92
2007-08-07;2,494694;5,05
2007-08-08;2,535584;5,04
2007-08-09;2,460204;4,7
2007-08-10;2,2571;4,38
2007-08-13;2,247676;4,61
2007-08-14;1,988135;4,62
2007-08-15;1,959246;4,18
2007-08-16;2,117208;3,13
2007-08-17;2,186256;3,03
2007-08-20;2,394263;2,47
2007-08-21;2,373259;3,17
2007-08-22;2,360119;3,12
2007-08-23;2,208053;3,79
2007-08-24;1,984929;4,24
2007-08-27;2,042595;4,74
2007-08-28;1,910938;4,6
2007-08-29;2,085231;4,02
2007-08-30;2,188372;3,69
2007-08-31;2,3134;4,02
2007-09-03;2,299924;
2007-09-04;2,161679;4,55
2007-09-05;2,249865;4,41
2007-09-06;2,088573;4,28
2007-09-07;2,009323;4,03
2007-09-10;2,205203;3,93
2007-09-11;2,055142;4,13
2007-09-12;1,916758;4
2007-09-13;2,296746;4,04
2007-09-14;2,040302;3,85
2007-09-17;1,954899;3,82
2007-09-18;1,87716;3,87
2007-09-19;1,86907;3,62
2007-09-20;1,942546;3,46
2007-09-21;1,876648;3,24
2007-09-24;1,947552;3,35
2007-09-25;2,013861;3,34
2007-09-26;1,989139;3,25
2007-09-27;2,083798;3,3
2007-09-28;2,209981;3,43
2007-10-01;2,095218;3,52
2007-10-02;2,123279;3,63
2007-10-03;2,145943;3,67
2007-10-04;2,117957;3,63
2007-10-05;2,009526;3,58
2007-10-08;1,8698;
2007-10-09;1,8146;3,72
2007-10-10;1,829364;3,81
2007-10-11;2,01846;3,98
2007-10-12;1,871352;4,12
2007-10-15;1,82802;4,25
2007-10-16;1,8657;4,14
2007-10-17;1,988939;3,74
2007-10-18;1,896459;3,21
2007-10-19;1,957164;3,45
2007-10-22;2,007794;3,69
2007-10-23;1,97244;3,98
2007-10-24;1,880929;3,83
2007-10-25;1,878146;3,92
2007-10-26;1,856298;3,97
2007-10-29;1,927612;3,96
2007-10-30;2,023581;4,03
2007-10-31;2,118889;4,01
2007-11-01;1,967776;3,9
2007-11-02;1,929668;3,73
2007-11-05;1,997464;3,86
2007-11-06;2,060114;3,99
2007-11-07;2,015681;3,77
2007-11-08;1,935481;3,56
2007-11-09;1,999057;3,42
2007-11-12;2,027775;
2007-11-13;2,085884;3,73
2007-11-14;2,11455;3,86
2007-11-15;2,177649;3,74
2007-11-16;2,165636;3,78
2007-11-19;2,15257;3,74
2007-11-20;2,107541;3,65
2007-11-21;2,11934;3,54
2007-11-22;2,051829;
2007-11-23;2,041068;3,64
2007-11-26;1,995715;3,53
2007-11-27;1,954819;3,68
2007-11-28;1,944365;3,52
2007-11-29;2,079579;3,38
2007-11-30;2,115592;3,63
2007-12-03;2,046773;3,55
2007-12-04;2,034052;3,16
2007-12-05;2,025475;3,15
2007-12-06;2,049244;3,09
2007-12-07;2,003123;3,04
2007-12-10;1,98124;3,05
2007-12-11;1,955891;2,89
2007-12-12;1,844594;2,89
2007-12-13;1,884569;2,7
2007-12-14;1,851815;2,61
2007-12-17;1,84741;2,78
2007-12-18;1,820065;2,76
2007-12-19;1,832966;2,66
2007-12-20;1,842934;2,42
2007-12-21;1,875118;2,44
2007-12-24;1,860395;2,75
2007-12-25;;
2007-12-26;;3,04
2007-12-27;1,90135;2,85
2007-12-28;1,839178;2,57
2007-12-31;1,873853;2,76
2008-01-01;;
2008-01-02;;3,09
2008-01-03;1,996285;3,19
2008-01-04;1,923343;3,22
2008-01-07;1,879856;3,27
2008-01-08;1,960335;3,31
2008-01-09;1,876949;3,34
2008-01-10;1,836502;3,37
2008-01-11;1,838847;3,23
2008-01-14;2,157294;3,2
2008-01-15;2,046804;3,15
2008-01-16;2,031549;3,14
2008-01-17;1,937789;3,07
2008-01-18;2,068633;2,63
2008-01-21;2,152004;
2008-01-22;2,206304;2,15
2008-01-23;2,155319;2,07
2008-01-24;2,144979;2,19
2008-01-25;2,082836;2,07
2008-01-28;2,105723;2,12
2008-01-29;2,080633;2,13
2008-01-30;2,177264;1,93
2008-01-31;2,241335;1,64
2008-02-01;2,314646;1,75
2008-02-04;2,438196;2,15
2008-02-05;2,290798;2,22
2008-02-06;2,220737;2,12
2008-02-07;2,25236;2,19
2008-02-08;2,288577;2,24
2008-02-11;2,364958;2,35
2008-02-12;2,482698;2,55
2008-02-13;2,46581;2,5
2008-02-14;2,560958;2,5
2008-02-15;2,499183;2,4
2008-02-18;2,299227;
2008-02-19;2,169728;2,37
2008-02-20;2,432722;2,4
2008-02-21;2,413045;2,35
2008-02-22;2,373149;2,33
2008-02-25;2,322299;2,34
2008-02-26;2,30285;2,34
2008-02-27;2,245158;2,21
2008-02-28;2,204576;2,08
2008-02-29;2,240998;2,07
2008-03-03;2,164148;1,99
2008-03-04;2,145622;2,01
2008-03-05;2,113495;1,91
2008-03-06;2,081263;1,73
2008-03-07;2,376762;1,65
2008-03-10;2,196427;1,63
2008-03-11;2,041394;1,82
2008-03-12;2,010858;1,68
2008-03-13;1,955849;1,56
2008-03-14;1,865778;1,2
2008-03-17;2,099699;1,16
2008-03-18;2,102939;0,71
2008-03-19;2,139462;0,26
2008-03-20;2,15669;0,37
2008-03-21;;
2008-03-24;;0,67
2008-03-25;2,129391;1,47
2008-03-26;2,212536;1,36
2008-03-27;2,110843;1,32
2008-03-28;2,017127;1,29
2008-03-31;1,894609;1,22
2008-04-01;1,909778;1,55
2008-04-02;1,761301;1,55
2008-04-03;1,768806;1,56
2008-04-04;1,729204;1,5
2008-04-07;1,766117;1,42
2008-04-08;1,763501;1,34
2008-04-09;1,773174;1,06
2008-04-10;1,803349;0,98
2008-04-11;1,775764;0,9
2008-04-14;1,831556;0,85
2008-04-15;1,78868;0,84
2008-04-16;1,757027;0,86
2008-04-17;1,755381;0,87
2008-04-18;1,738838;0,9
2008-04-21;1,742405;0,9
2008-04-22;1,752121;0,72
2008-04-23;1,741894;0,78
2008-04-24;1,677391;0,81
2008-04-25;1,628018;0,8
2008-04-28;1,6506;0,94
2008-04-29;1,69283;1,28
2008-04-30;1,850478;1,17
2008-05-01;;1,23
2008-05-02;1,891107;1,25
2008-05-05;1,798433;1,34
2008-05-06;1,774489;1,53
2008-05-07;1,803914;1,57
2008-05-08;1,776629;1,55
2008-05-09;1,74402;1,6
2008-05-12;;1,73
2008-05-13;1,742728;1,86
2008-05-14;1,715971;1,86
2008-05-15;1,692702;1,84
2008-05-16;1,698387;1,85
2008-05-19;1,758635;1,93
2008-05-20;1,752059;1,97
2008-05-21;1,876073;1,95
2008-05-22;1,736828;1,97
2008-05-23;1,699477;1,92
2008-05-26;1,705727;
2008-05-27;1,684342;1,91
2008-05-28;1,692639;2,07
2008-05-29;1,818747;2,02
