Date;SARON_close;US_IR
2005-01-03;0,588191;1,99
2005-01-04;0,616042;2,05
2005-01-05;0,696835;2,04
2005-01-06;0,76842;2,04
2005-01-07;0,672936;2,03
2005-01-10;0,674866;2,07
2005-01-11;0,648851;2,03
2005-01-12;0,733961;2,01
2005-01-13;0,738232;2,06
2005-01-14;0,694707;2,06
2005-01-17;0,59171;
2005-01-18;0,242728;2,05
2005-01-19;0,102421;1,95
2005-01-20;0,580831;1,89
2005-01-21;0,598649;2,02
2005-01-24;0,676779;2,05
2005-01-25;0,494427;2,13
2005-01-26;0,448016;2,16
2005-01-27;0,437884;2,16
2005-01-28;0,414701;2,12
2005-01-31;0,654176;2,06
2005-02-01;0,669731;2,23
2005-02-02;0,629928;2,22
2005-02-03;0,563602;2,18
2005-02-04;0,619888;2,2
2005-02-07;0,661869;2,27
2005-02-08;0,614977;2,34
2005-02-09;0,511663;2,34
2005-02-10;0,497193;2,35
2005-02-11;0,468912;2,36
2005-02-14;0,473938;2,37
2005-02-15;0,512378;2,4
2005-02-16;0,463627;2,39
2005-02-17;0,482753;2,4
2005-02-18;0,487894;2,39
2005-02-21;0,582635;
2005-02-22;0,684674;2,43
2005-02-23;0,576288;2,47
2005-02-24;0,452254;2,48
2005-02-25;0,486893;2,5
2005-02-28;0,67587;2,51
2005-03-01;0,616146;2,55
2005-03-02;0,592826;2,54
2005-03-03;0,589503;2,55
2005-03-04;0,599542;2,56
2005-03-07;0,663609;2,59
2005-03-08;0,692096;2,61
2005-03-09;0,661278;2,6
2005-03-10;0,611968;2,6
2005-03-11;0,610944;2,6
2005-03-14;0,642379;2,62
2005-03-15;0,632962;2,7
2005-03-16;0,698957;2,68
2005-03-17;0,67625;2,68
2005-03-18;0,719143;2,7
2005-03-21;0,636737;2,72
2005-03-22;0,631167;2,77
2005-03-23;0,651934;2,72
2005-03-24;0,738258;2,7
2005-03-25;;
2005-03-28;;2,69
2005-03-29;0,712885;2,7
2005-03-30;0,714627;2,71
2005-03-31;0,809343;2,63
2005-04-01;0,713471;2,66
2005-04-04;0,669411;2,64
2005-04-05;0,650412;2,63
2005-04-06;0,693951;2,6
2005-04-07;0,653979;2,61
2005-04-08;0,651179;2,61
2005-04-11;0,607433;2,6
