Date,Open,High,Low,Close,Adj Close,Volume,SARON_close,US_IR,CH_infl,US_infl
2005-01-03,1.1378,1.155,1.1374,1.147,1.147,0.0,"0,588191","1,99","-0,5","0,21019443"
2005-01-04,1.1471,1.1706,1.1443,1.1676,1.1676,0.0,"0,616042","2,05","-0,5","0,21019443"
2005-01-05,1.1676,1.1754,1.1655,1.1669,1.1669,0.0,"0,696835","2,04","-0,5","0,21019443"
2005-01-06,1.1672,1.1773,1.1667,1.174,1.174,0.0,"0,76842","2,04","-0,5","0,21019443"
2005-01-07,1.174,1.1885,1.1676,1.1841,1.1841,0.0,"0,672936","2,03","-0,5","0,21019443"
2005-01-10,1.1837,1.1848,1.1785,1.1794,1.1794,0.0,"0,674866","2,07","-0,5","0,21019443"
2005-01-11,1.1792,1.1837,1.1733,1.1824,1.1824,0.0,"0,648851","2,03","-0,5","0,21019443"
2005-01-12,1.1825,1.184,1.1629,1.1676,1.1676,0.0,"0,733961","2,01","-0,5","0,21019443"
2005-01-13,1.1676,1.1739,1.1665,1.1721,1.1721,0.0,"0,738232","2,06","-0,5","0,21019443"
2005-01-14,1.172,1.1865,1.172,1.1791,1.1791,0.0,"0,694707","2,06","-0,5","0,21019443"
2005-01-17,1.1813,1.1848,1.177,1.1845,1.1845,0.0,"0,59171","2,06","-0,5","0,21019443"
2005-01-18,1.1845,1.1902,1.1806,1.1853,1.1853,0.0,"0,242728","2,05","-0,5","0,21019443"
2005-01-19,1.1853,1.1895,1.1757,1.1851,1.1851,0.0,"0,102421","1,95","-0,5","0,21019443"
2005-01-20,1.1853,1.192,1.1832,1.1902,1.1902,0.0,"0,580831","1,89","-0,5","0,21019443"
2005-01-21,1.1904,1.1962,1.1837,1.1854,1.1854,0.0,"0,598649","2,02","-0,5","0,21019443"
2005-01-24,1.186,1.1866,1.1791,1.185,1.185,0.0,"0,676779","2,05","-0,5","0,21019443"
2005-01-25,1.185,1.1965,1.1806,1.1934,1.1934,0.0,"0,494427","2,13","-0,5","0,21019443"
2005-01-26,1.1934,1.1938,1.1811,1.1825,1.1825,0.0,"0,448016","2,16","-0,5","0,21019443"
2005-01-27,1.1825,1.1879,1.1779,1.1843,1.1843,0.0,"0,437884","2,16","-0,5","0,21019443"
2005-01-28,1.1844,1.1915,1.1822,1.1855,1.1855,0.0,"0,414701","2,12","-0,5","0,21019443"
2005-01-31,1.189,1.194,1.1858,1.1878,1.1878,0.0,"0,654176","2,06","-0,5","0,21019443"
2005-02-01,1.1877,1.1951,1.1872,1.1907,1.1907,0.0,"0,669731","2,23","0,2","0,576822234"
