Date,SMI,SP500,USD_CHF
2003-09-17,5398.899902,1025.97,1.3807
2003-09-18,5422.600098,1039.58,1.3858
2003-09-19,5387.100098,1036.3,1.3669
2003-09-22,5257.200195,1022.82,1.3528
2003-09-23,5212.399902,1029.03,1.3587
2003-09-24,5230.700195,1009.38,1.352
2003-09-25,5160.600098,1003.27,1.3447
2003-09-26,5131.299805,996.85,1.3425
2003-09-29,5102.299805,1006.58,1.3236
2003-09-30,5043.5,995.97,1.3175
2003-10-01,5061.0,1018.22,1.3152
2003-10-02,5077.899902,1020.24,1.3181
2003-10-03,5203.100098,1029.85,1.3367
2003-10-06,5161.5,1034.35,1.3194
2003-10-07,5123.700195,1039.25,1.3142
2003-10-08,5146.200195,1033.78,1.3109
2003-10-09,5217.799805,1038.73,1.3179
2003-10-10,5204.5,1038.06,1.3132
2003-10-13,5272.799805,1045.35,1.3228
2003-10-14,5254.0,1049.48,1.3164
2003-10-15,5262.5,1046.76,1.331
2003-10-16,5262.899902,1050.07,1.3346
2003-10-17,5247.299805,1039.32,1.3266
2003-10-20,5266.600098,1044.68,1.332
2003-10-21,5257.899902,1046.03,1.3302
2003-10-22,5176.600098,1030.36,1.3115
2003-10-23,5123.0,1033.77,1.309
2003-10-24,5123.700195,1028.91,1.3124
2003-10-27,5157.600098,1031.13,1.3179
2003-10-28,5185.200195,1046.79,1.3312
2003-10-29,5177.5,1048.11,1.3305
2003-10-30,5223.200195,1046.94,1.3336
2003-10-31,5211.399902,1050.71,1.3382
2003-11-03,5319.600098,1059.02,1.3598
2003-11-04,5252.100098,1053.25,1.3643
2003-11-05,5203.200195,1051.81,1.3708
2003-11-06,5235.700195,1058.05,1.3779
2003-11-07,5299.600098,1053.21,1.3669
2003-11-10,5242.200195,1047.11,1.3741
2003-11-11,5260.299805,1046.57,1.3623
2003-11-12,5270.600098,1058.56,1.3494
2003-11-13,5325.899902,1058.41,1.3352
2003-11-14,5369.799805,1050.35,1.3267
2003-11-17,5274.700195,1043.63,1.3252
2003-11-18,5249.899902,1034.15,1.2937
2003-11-19,5197.600098,1042.44,1.3056
2003-11-20,5200.899902,1033.65,1.3007
2003-11-21,5206.299805,1035.28,1.2983
2003-11-24,5304.600098,1052.08,1.3185
2003-11-25,5309.100098,1053.89,1.3194
2003-11-26,5296.0,1058.45,1.2941
2003-11-28,5317.5,1058.2,1.2911
2003-12-01,5374.899902,1070.12,1.2981
2003-12-02,5378.200195,1066.62,1.2872
2003-12-03,5440.700195,1064.73,1.2852
2003-12-04,5427.0,1069.72,1.2885
2003-12-05,5365.100098,1061.5,1.2724
2003-12-08,5360.0,1069.3,1.2674
2003-12-09,5392.399902,1060.18,1.2632
2003-12-10,5345.100098,1059.05,1.269
2003-12-11,5403.100098,1071.21,1.2689
2003-12-12,5397.600098,1074.14,1.2619
2003-12-15,5427.100098,1068.04,1.2605
2003-12-16,5383.299805,1075.13,1.2594
2003-12-17,5356.5,1076.48,1.2538
2003-12-18,5415.799805,1089.18,1.25
2003-12-19,5413.399902,1088.67,1.2548
2003-12-22,5387.799805,1092.94,1.2575
2003-12-23,5417.200195,1096.02,1.2567
2003-12-24,5417.200195,1094.04,1.2478
2003-12-26,5417.200195,1095.89,1.2549
2003-12-29,5445.200195,1109.48,1.2496
2003-12-30,5487.799805,1109.64,1.2426
2003-12-31,5487.799805,1111.92,1.2366
2004-01-02,5487.799805,1108.48,1.24
2004-01-05,5582.700195,1122.22,1.232
2004-01-06,5596.600098,1123.67,1.2319
2004-01-07,5583.399902,1126.33,1.2395
2004-01-08,5605.100098,1131.92,1.2266
2004-01-09,5574.700195,1121.86,1.2212
2004-01-12,5507.700195,1127.23,1.2277
2004-01-13,5559.100098,1121.22,1.2195
2004-01-14,5624.299805,1130.52,1.232
2004-01-15,5631.0,1132.05,1.2431
2004-01-16,5694.5,1139.83,1.2637
